page_url,link_text,pdf_url
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-16,https://drive.google.com/file/d/1QQnF2dyQYLlktCScfSQss0Jwx9EgrcFe/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-17,https://drive.google.com/file/d/1NR8H6eZR0ogK9EwEKMe28Gb7z_WrAsws/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-18,https://drive.google.com/file/d/1YOa8rxxYiduBBSVN_koKx0ud6cPWFGvG/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-19,https://drive.google.com/file/d/1zsVhyCQNcgTwzcbWTh2j9B9dVmILtoaE/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-20,https://drive.google.com/file/d/1yO2htklenUwgj1Y0vHnQVYrxk1TFXhUZ/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-21,https://drive.google.com/file/d/1utxwTYC_rRvq7pgQKfhKxuMs0W6S22YC/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-22,https://drive.google.com/file/d/18Ll55PeL2g2ORWADLw_GB8OIgPv1xM62/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-23,https://drive.google.com/file/d/1QG5WIM67jXoepIWyuJBE87FEZlKdWXRj/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-24,https://drive.google.com/file/d/1_FCQFbtf7sZm5_IqH65zuee2bAy5u6dy/view?usp=sharing
https://www.pucnotes-solutions.com/1st-pu-notes-kannada,Chapter-25,https://drive.google.com/file/d/19SmvWvzB7oHOJzpHfmz6WSzrwbFOkoju/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-english,Chapter-01,https://drive.google.com/file/d/1F1vSm0RB5lJd8Pp1bG3Au2BK4wlLm_2e/view?usp=sharing
https://www.pucnotes-solutions.com/2nd-pu-notes-english,Chapter-02,https://drive.google.com/file/d/1ONu9CxYH2d5hs0bnWC2f6eBL5SVwBMQV/view?usp=sharing
